name,V_apparent_mag,parallax_mas,distance_pc,absolute_mag_V,Teff_K,radius_Rsun,spectral_type,L_from_Mv_Lsun,L_from_StefanBoltzmann_Lsun
Sun,-26.74,,0.0,4.83,5778,1.0,G2V,1.0,1.0
Sirius A,-1.46,379.21,2.6371,1.434,9940,1.71,A1V,22.81605,25.61106
Alpha Centauri A,-0.01,747.1,1.3385,4.357,5790,1.22,G2V,1.54612,1.5008
Arcturus,-0.05,88.83,11.2575,-0.307,4286,25.4,K1.5III,113.4699,195.32865
Vega,0.03,130.23,7.6787,0.604,9602,2.36,A0V,49.0431,42.47767
Capella Aa,0.08,76.2,13.1234,-0.51,4970,11.98,G8III,136.80125,78.56499
Rigel,0.13,3.78,264.5503,-6.983,12100,78.9,B8Ia,53090.44925,119725.13562
Procyon A,0.34,284.56,3.5142,2.611,6530,2.05,F5IV-V,7.72062,6.85568
Betelgeuse,0.5,5.95,168.0672,-5.627,3600,887.0,M1-2Ia,15239.33684,118562.43024
Altair,0.77,194.95,5.1295,2.22,7670,1.63,A7V,11.07015,8.24986
Aldebaran,0.85,48.94,20.4332,-0.702,3910,45.1,K5III,163.18193,426.53037
Antares,0.96,5.89,169.7793,-5.189,3660,680.0,M1.5Iab,10180.50708,74444.39708
Spica,0.97,13.06,76.5697,-3.45,22400,7.47,B1III-IV,2051.699,12604.42757
Pollux,1.14,96.74,10.337,1.068,4586,9.06,K0III,31.97333,32.57485
Fomalhaut,1.16,129.81,7.7036,1.727,8590,1.84,A3V,17.43346,16.53858
Deneb,1.25,1.01,990.099,-8.728,8525,203.0,A2Ia,265067.97021,195280.76892
Sirius B,8.44,379.21,2.6371,11.334,25000,0.008098,DA2,0.0025,0.02298
61 Cygni A,5.2,286.1,3.4953,7.483,4374,0.665,K5V,0.08689,0.14523
Barnard’s Star,9.54,546.98,1.8282,13.23,3134,0.196,M4V,0.00044,0.00333
Proxima Centauri,11.13,768.5,1.3012,15.558,3042,0.154,M5.5Ve,5e-05,0.00182
