CID,IDSURVEY,zHD,MU_SH0ES,MU_SH0ES_ERR_DIAG,IS_CALIBRATOR,USED_IN_SH0ES_HF
2001cj,57,0.02494,35.1973,0.228493,0,1
1997dg,62,0.02996,35.861,0.192522,0,0
2008dr,57,0.04014,36.284,0.147901,0,1
PS15asb,150,0.04989,36.4714,0.18553,0,1
1993B,50,0.07023,37.2944,0.277681,0,1
010010,15,0.0995,38.4377,0.194713,0,0
000038,15,0.1505,39.1058,0.170038,0,0
560150,15,0.1997,39.8965,0.17155,0,0
170428,15,0.3002,40.9837,0.198158,0,0
05D4ff,4,0.4005,41.4918,0.158339,0,0
05D3lr,4,0.60067,42.6116,0.278838,0,0
03D1fq,4,0.79863,43.4338,0.288144,0,0
SCP05D0,101,1.01242,44.1177,0.367085,0,0
Lancaster,100,1.23597,44.905,0.273735,0,0
carter,106,1.5429,45.0902,0.371014,0,0
stone,106,1.80119,45.4865,0.281981,0,0
wilson,106,1.91165,45.4233,0.358642,0,0
colfax,106,2.26137,46.1828,0.281309,0,0
